G43A-NONSPCFC,NONSPECIFIC,G43,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G45A-NONSPCFC,NONSPECIFIC,G45,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G47A-NONSPCFC,NONSPECIFIC,G47,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G50A-NONSPCFC,NONSPECIFIC,G50,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G51A-NONSPCFC,NONSPECIFIC,G51,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G52A-NONSPCFC,NONSPECIFIC,G52,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G54A-NONSPCFC,NONSPECIFIC,G54,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G55A-NONSPCFC,NONSPECIFIC,G55,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G56A-NONSPCFC,NONSPECIFIC,G56,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G57A-NONSPCFC,NONSPECIFIC,G57,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
